accession,length,description
KO488052.1,99,"MI04450-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KS718376.1,99,"InSITE_1433 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KG779851.1,99,"MI11564-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO488262.1,99,"MI10280-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_047929.1,99,"Drosophila melanogaster mir-87 precursor RNA (mir-87), miRNA"
NR_048273.1,99,"Drosophila melanogaster mir-289 precursor RNA (mir-289), miRNA"
KO455242.1,99,"MI14642-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048362.1,99,"Drosophila melanogaster mir-34 precursor RNA (mir-34), miRNA"
NR_002093.1,99,"Drosophila melanogaster snoRNA:M (snoRNA:M), snoRNA"
NR_047852.1,99,"Drosophila melanogaster mir-977 precursor RNA (mir-977), miRNA"
KS718357.1,99,"InSITE_1275 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KS718409.1,99,"InSITE_2116 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
NR_048523.1,99,"Drosophila melanogaster mir-4949 precursor RNA (mir-4949), miRNA"
KG816852.1,99,"MI11943-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048301.1,99,"Drosophila melanogaster mir-33 precursor RNA (mir-33), miRNA"
KO455335.1,99,"MI14933-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048250.1,99,"Drosophila melanogaster mir-276b precursor RNA (mir-276b), miRNA"
NR_048268.1,99,"Drosophila melanogaster mir-285 precursor RNA (mir-285), miRNA"
KG961368.1,99,"MI12439-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO465225.1,99,"MI15007-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO454219.1,99,"MI14130-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455381.1,98,"MI15073-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG816976.1,98,"MI11428-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG961771.1,98,"MI12492-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO454912.1,98,"MI13384-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048116.1,98,"Drosophila melanogaster mir-278 precursor RNA (mir-278), miRNA"
NR_047896.1,98,"Drosophila melanogaster mir-959 precursor RNA (mir-959), miRNA"
NR_037743.2,98,"Drosophila melanogaster snoRNA:Or-CD9a (snoRNA:Or-CD9a), snoRNA"
NR_047916.1,98,"Drosophila melanogaster mir-275 precursor RNA (mir-275), miRNA"
KG817066.1,98,"MI12107-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG777717.1,98,"MI11082-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO487981.1,98,"MI01993-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO454793.1,98,"MI13449-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_047714.1,98,"Drosophila melanogaster mir-980 precursor RNA (mir-980), miRNA"
NR_048253.1,98,"Drosophila melanogaster mir-276a precursor RNA (mir-276a), miRNA"
NR_048027.1,98,"Drosophila melanogaster mir-133 precursor RNA (mir-133), miRNA"
KS718552.1,97,"InSITE_4101 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
NR_048510.1,97,"Drosophila melanogaster mir-996 precursor RNA (mir-996), miRNA"
KG779901.1,97,"MI11719-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG816711.1,97,"MI08681-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048219.1,97,"Drosophila melanogaster mir-282 precursor RNA (mir-282), miRNA"
NR_047850.1,97,"Drosophila melanogaster mir-976 precursor RNA (mir-976), miRNA"
NR_047945.1,97,"Drosophila melanogaster mir-967 precursor RNA (mir-967), miRNA"
KG960164.1,97,"MI11300-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO465445.1,97,"MI15592-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_163222.1,97,"Drosophila melanogaster snoRNA:Orphan C/D box 15 (snoRNA:Or-CD15), snoRNA"
KG961853.1,97,"MI13055-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_047728.1,97,"Drosophila melanogaster mir-981 precursor RNA (mir-981), miRNA"
KO455167.1,97,"MI14499-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048029.1,97,"Drosophila melanogaster mir-288 precursor RNA (mir-288), miRNA"
NR_001626.1,97,"Drosophila melanogaster small nuclear RNA U6atac (snRNA:U6atac), snRNA"
KO455273.1,97,"MI14726-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_047972.1,97,"Drosophila melanogaster mir-79 precursor RNA (mir-79), miRNA"
NR_048221.1,97,"Drosophila melanogaster mir-955 precursor RNA (mir-955), miRNA"
KG961787.1,96,"MI12577-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO455388.1,96,"MI15114-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG960290.1,96,"MI12224-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG779795.1,96,"MI11366-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
8YIH_C,96,"Chain C, slm1"
KG779866.1,96,"MI11581-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_002549.1,96,"Drosophila melanogaster snoRNA:660 (snoRNA:660), snoRNA"
KG960123.1,96,"f04367-5prime Exelixis piggyBac WH insertions Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048180.1,96,"Drosophila melanogaster mir-991 precursor RNA (mir-991), miRNA"
NR_047964.1,96,"Drosophila melanogaster mir-2497 precursor RNA (mir-2497), miRNA"
NR_047802.1,96,"Drosophila melanogaster mir-971 precursor RNA (mir-971), miRNA"
NR_048309.1,96,"Drosophila melanogaster mir-957 precursor RNA (mir-957), miRNA"
KS718375.1,96,"InSITE_1429 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KS718343.1,96,"InSITE_1042 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KO454756.1,96,"MI13310-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_047842.1,96,"Drosophila melanogaster mir-2499 precursor RNA (mir-2499), miRNA"
CAKMKX000000000.1,96,"Drosophila melanogaster strain dmgoth63, whole genome shotgun sequencing project"
NR_047856.1,95,"Drosophila melanogaster mir-979 precursor RNA (mir-979), miRNA"
KO465528.1,95,"MI15739-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO488140.1,95,"MI09007-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG961418.1,95,"MI12684-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048486.1,95,"Drosophila melanogaster mir-92a precursor RNA (mir-92a), miRNA"
KG816769.1,95,"MI11503-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG961534.1,95,"MI13174-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455226.1,95,"MI14613-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_002469.1,95,"Drosophila melanogaster small non-coding RNA 763 (sncRNA:763), ncRNA"
KO455213.1,95,"MI14590-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO454990.1,95,"MI14045-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_047948.1,95,"Drosophila melanogaster mir-2489 precursor RNA (mir-2489), miRNA"
NR_048062.1,95,"Drosophila melanogaster mir-280 precursor RNA (mir-280), miRNA"
KO454189.1,95,"MI14041-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_047798.1,95,"Drosophila melanogaster mir-970 precursor RNA (mir-970), miRNA"
NR_048060.1,95,"Drosophila melanogaster mir-4981 precursor RNA (mir-4981), miRNA"
NR_163224.1,94,"Drosophila melanogaster snoRNA:Orphan H/ACA box 8 (snoRNA:Or-ACA8), snoRNA"
KO455215.1,94,"MI14592-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO488209.1,94,"MI12862-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_047829.1,94,"Drosophila melanogaster mir-969 precursor RNA (mir-969), miRNA"
KG817050.1,94,"MI12023-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048067.1,94,"Drosophila melanogaster mir-987 precursor RNA (mir-987), miRNA"
NR_047877.1,94,"Drosophila melanogaster mir-4914 precursor RNA (mir-4914), miRNA"
KO465153.1,94,"MI14269-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_047938.1,94,"Drosophila melanogaster mir-bft precursor RNA (mir-bft), miRNA"
NR_163232.1,93,"Drosophila melanogaster snoRNA:Me28S-C993 (snoRNA:Me28S-C993), ncRNA"
KG779745.1,93,"MI11102-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG779812.1,93,"MI11446-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_003894.1,93,"Drosophila melanogaster snoRNA:Me28S-G2017 (snoRNA:Me28S-G2017), snoRNA"
KG961349.1,93,"MI12340-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO455089.1,93,"MI14315-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_047898.1,93,"Drosophila melanogaster mir-960 precursor RNA (mir-960), miRNA"
NR_047987.1,93,"Drosophila melanogaster mir-287 precursor RNA (mir-287), miRNA"
NR_048381.1,93,"Drosophila melanogaster mir-252 precursor RNA (mir-252), miRNA"
NR_047753.1,93,"Drosophila melanogaster mir-982 precursor RNA (mir-982), miRNA"
KG963436.1,93,"MI13078-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO454021.1,93,"MI13555-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO454946.1,93,"MI13767-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048468.1,93,"Drosophila melanogaster mir-4953 precursor RNA (mir-4953), miRNA"
KG816940.1,93,"MI11321-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KS718481.1,93,"InSITE_3063 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KG816896.1,93,"MI06499-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_073909.1,93,"Drosophila melanogaster small non-coding RNA:CR43701 (sncRNA:CR43701), ncRNA"
NR_144679.1,92,"Drosophila melanogaster mir-9388 precursor RNA (mir-9388), miRNA"
NR_048312.1,92,"Drosophila melanogaster mir-958 precursor RNA (mir-958), miRNA"
KG816786.1,92,"MI11572-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KS718364.1,92,"InSITE_1358 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KO454959.1,92,"MI13894-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_047854.1,92,"Drosophila melanogaster mir-978 precursor RNA (mir-978), miRNA"
NR_047818.1,92,"Drosophila melanogaster mir-927 precursor RNA (mir-927), miRNA"
NR_048339.1,92,"Drosophila melanogaster mir-4950 precursor RNA (mir-4950), miRNA"
NR_048356.1,92,"Drosophila melanogaster mir-317 precursor RNA (mir-317), miRNA"
KG961457.1,92,"MI12832-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_003914.1,92,"Drosophila melanogaster snoRNA:Or-CD8 (snoRNA:Or-CD8), snoRNA"
KO454058.1,92,"MI13697-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048092.1,92,"Drosophila melanogaster mir-281-2 precursor RNA (mir-281-2), miRNA"
KO454850.1,92,"MI13828-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO454867.1,92,"MI14102-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG777714.1,92,"MI11080-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048182.1,92,"Drosophila melanogaster mir-992 precursor RNA (mir-992), miRNA"
KO455449.1,92,"MI15366-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_047967.1,92,"Drosophila melanogaster mir-9c precursor RNA (mir-9c), miRNA"
NR_047902.1,92,"Drosophila melanogaster mir-962 precursor RNA (mir-962), miRNA"
KG960235.1,92,"MI12012-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_047953.1,92,"Drosophila melanogaster mir-968 precursor RNA (mir-968), miRNA"
KG961244.1,92,"MI08570-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG961278.1,92,"MI12217-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG961261.1,92,"MI12178-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048136.1,92,"Drosophila melanogaster mir-31a precursor RNA (mir-31a), miRNA"
KG779659.1,92,"MI10748-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455305.1,92,"MI14836-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO455337.1,92,"MI14936-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_047913.1,91,"Drosophila melanogaster mir-932 precursor RNA (mir-932), miRNA"
NR_002137.1,91,"Drosophila melanogaster snoRNA:MeU6-A47 (snoRNA:MeU6-A47), snoRNA"
NR_047757.1,91,"Drosophila melanogaster mir-983-1 precursor RNA (mir-983-1), miRNA"
KG961511.1,91,"MI13027-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_037744.1,91,"Drosophila melanogaster snoRNA:Or-CD9b (snoRNA:Or-CD9b), snoRNA"
NR_047848.1,91,"Drosophila melanogaster mir-975 precursor RNA (mir-975), miRNA"
NR_047836.1,91,"Drosophila melanogaster mir-972 precursor RNA (mir-972), miRNA"
KO454954.1,91,"MI13863-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048121.1,91,"Drosophila melanogaster mir-137 precursor RNA (mir-137), miRNA"
NR_047733.1,91,"Drosophila melanogaster mir-4954 precursor RNA (mir-4954), miRNA"
NR_003118.1,91,"Drosophila melanogaster snoRNA:Me28S-C3420a (snoRNA:Me28S-C3420a), snoRNA"
NR_048021.1,91,"Drosophila melanogaster mir-1 precursor RNA (mir-1), miRNA"
NR_047974.1,91,"Drosophila melanogaster mir-9b precursor RNA (mir-9b), miRNA"
KG779773.1,91,"MI11164-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG779826.1,91,"MI11492-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455232.1,91,"MI14628-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_047869.1,91,"Drosophila melanogaster mir-375 precursor RNA (mir-375), miRNA"
NR_003117.1,91,"Drosophila melanogaster snoRNA:Me28S-C3420b (snoRNA:Me28S-C3420b), snoRNA"
NR_048364.1,91,"Drosophila melanogaster mir-994 precursor RNA (mir-994), miRNA"
NR_003801.1,91,"Drosophila melanogaster snoRNA:Me28S-G2703a (snoRNA:Me28S-G2703a), snoRNA"
NR_048279.1,90,"Drosophila melanogaster mir-263b precursor RNA (mir-263b), miRNA"
KG960096.1,90,"e02835-5prime Exelixis piggyBac RB insertions Drosophila melanogaster genomic 5', genomic survey sequence"
KG960257.1,90,"MI12074-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455225.1,90,"MI14607-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO465476.1,90,"MI15634-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048263.1,90,"Drosophila melanogaster mir-314 precursor RNA (mir-314), miRNA"
KG961822.1,90,"MI12724-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_047761.1,90,"Drosophila melanogaster mir-984 precursor RNA (mir-984), miRNA"
NR_048095.1,90,"Drosophila melanogaster mir-281-1 precursor RNA (mir-281-1), miRNA"
KO454032.1,90,"MI13582-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048502.1,90,"Drosophila melanogaster mir-1001 precursor RNA (mir-1001), miRNA"
KG779945.1,90,"MI11849-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG816740.1,90,"MI11269-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048438.1,90,"Drosophila melanogaster mir-995 precursor RNA (mir-995), miRNA"
KG777721.1,90,"MI11086-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO488159.1,90,"MI09978-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG779700.1,90,"MI10865-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048169.1,89,"Drosophila melanogaster mir-310 precursor RNA (mir-310), miRNA"
NR_047900.1,89,"Drosophila melanogaster mir-961 precursor RNA (mir-961), miRNA"
NR_047951.1,89,"Drosophila melanogaster mir-1002 precursor RNA (mir-1002), miRNA"
KO455233.1,89,"MI14631-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_047904.1,89,"Drosophila melanogaster mir-963 precursor RNA (mir-963), miRNA"
KO465423.1,89,"MI15548-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG779922.1,89,"MI11788-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG777749.1,89,"MI11215-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KS718564.1,89,"InSITE_5001 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
MN661249.1,89,"Drosophila melanogaster Dm2 sbRNA (Dm2), complete sequence"
KG816880.1,89,"MI12106-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG817043.1,89,"MI11991-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO465317.1,89,"MI15357-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO454177.1,89,"MI13984-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO454772.1,89,"MI13377-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO454847.1,89,"MI13823-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG816864.1,89,"MI12014-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
SIXD00000000.1,89,"Drosophila melanogaster strain DGRP-379, whole genome shotgun sequencing project"
NR_048306.1,89,"Drosophila melanogaster mir-316 precursor RNA (mir-316), miRNA"
KG961411.1,89,"MI12627-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_003863.1,88,"Drosophila melanogaster snoRNA:Me28S-G3253 (snoRNA:Me28S-G3253), snoRNA"
KO454848.1,88,"MI13825-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_003784.1,88,"Drosophila melanogaster snoRNA:Me18S-A469 (snoRNA:Me18S-A469), snoRNA"
KO455198.1,88,"MI14561-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO455355.1,88,"MI14991-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048184.1,88,"Drosophila melanogaster mir-7 precursor RNA (mir-7), miRNA"
KG777748.1,88,"MI11214-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO454789.1,88,"MI13446-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048318.1,88,"Drosophila melanogaster mir-929 precursor RNA (mir-929), miRNA"
NR_047811.1,88,"Drosophila melanogaster mir-304 precursor RNA (mir-304), miRNA"
KG961432.1,88,"MI12728-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG961818.1,88,"MI12673-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG816861.1,88,"MI11969-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG816941.1,88,"MI11321-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO455040.1,88,"MI14207-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048072.1,88,"Drosophila melanogaster mir-307a precursor RNA (mir-307a), miRNA"
NR_047866.1,88,"Drosophila melanogaster snoRNA:kis-a (snoRNA:kis-a), snoRNA"
NR_001759.1,88,"Drosophila melanogaster snoRNA:U29:54Ec (snoRNA:U29:54Ec), snoRNA"
KG817056.1,88,"MI12043-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG963365.1,87,"MI12547-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_047825.1,87,"Drosophila melanogaster mir-4965 precursor RNA (mir-4965), miRNA"
KG963330.1,87,"MI09175-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_047709.1,87,"Drosophila melanogaster mir-954 precursor RNA (mir-954), miRNA"
KG963382.1,87,"MI12595-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG961754.1,87,"MI12452-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_001761.1,87,"Drosophila melanogaster snoRNA:U29:54Ed (snoRNA:U29:54Ed), snoRNA"
NR_001756.1,87,"Drosophila melanogaster snoRNA:Me28S-A3407a (snoRNA:Me28S-A3407a), snoRNA"
NR_047909.1,87,"Drosophila melanogaster mir-966 precursor RNA (mir-966), miRNA"
MP549558.1,87,Sequence 29 from Patent WO2020035673
MP335289.1,87,Sequence 47 from Patent WO2019186175
MP335245.1,87,Sequence 3 from Patent WO2019186175
MP335267.1,87,Sequence 25 from Patent WO2019186175
KG817004.1,87,"MI11677-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
MP549574.1,87,Sequence 45 from Patent WO2020035673
NR_156796.1,87,"Drosophila melanogaster mir-4966-2 precursor RNA (mir-4966-2), miRNA"
KS718474.1,87,"InSITE_3030 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
NR_003802.1,87,"Drosophila melanogaster snoRNA:Me28S-G2703b (snoRNA:Me28S-G2703b), snoRNA"
NR_048128.1,87,"Drosophila melanogaster mir-8 precursor RNA (mir-8), miRNA"
