accession,length,description
PC355038.1,45,"JP 2021518132-A/13: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PG078699.1,45,JP 2022546101-A/19: METHODS AND COMPOSITIONS FOR THE MODIFICATION AND DELIVERY OF LYMPHOCYTES
PC493688.1,45,JP 2022502508-A/6: METHODS OF TREATING PERIPHERAL T CELL LYMPHOMA USING ANTI-CD30 ANTIBODY DRUG CONJUGATE THERAPY
PC355044.1,45,"JP 2021518132-A/19: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PC355096.1,45,JP 2021518397-A/6: USE OF ANTIBODY DRUG CONJUGATES COMPRISING TUBULIN DISRUPTING AGENTS TO TREAT SOLID TUMOR
PG110175.1,45,"JP 2022549172-A/19: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PC355035.1,45,"JP 2021518132-A/10: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PG053336.1,45,JP 2022540918-A/62: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PD154250.1,43,JP 2022512892-A/37: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PD152660.1,42,JP 2022505173-A/81: Compositions and Methods for Delivering Transgenes
PD154253.1,42,JP 2022512892-A/40: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PD154252.1,42,JP 2022512892-A/39: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PD152582.1,40,JP 2022505173-A/3: Compositions and Methods for Delivering Transgenes
PC434880.1,39,JP 2021534811-A/5: ANTI-HER3 ANTIBODY AND USES THEREOF
PG053280.1,39,JP 2022540918-A/6: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PC345632.1,39,"JP 2021513345-A/1: Antibody against the endothelin receptor subtype A, and uses thereof"
PC355045.1,39,"JP 2021518132-A/20: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PG110176.1,39,"JP 2022549172-A/20: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PC357233.1,38,JP 2021512646-A/12: Structural domains of antisense RNA molecules up-regulating translation
PG062744.1,38,JP 2022544401-A/10: TGF-Beta Trap
PD152284.1,38,JP 2022505139-A/55: GENOME EDITING METHODS AND CONSTRUCTS
PD152285.1,38,JP 2022505139-A/56: GENOME EDITING METHODS AND CONSTRUCTS
PG057250.1,36,JP 2022542808-A/52: Caninized Antibodies Against Canine CTLA-4
PC371201.1,36,JP 2021521201-A/11: Antibodies
PG053317.1,36,JP 2022540918-A/43: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053322.1,36,JP 2022540918-A/48: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053309.1,36,JP 2022540918-A/35: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053318.1,36,JP 2022540918-A/44: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053321.1,36,JP 2022540918-A/47: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PC371211.1,36,JP 2021521201-A/21: Antibodies
PG053323.1,36,JP 2022540918-A/49: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053337.1,36,JP 2022540918-A/63: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053342.1,36,JP 2022540918-A/68: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PD192924.1,36,JP 2022525937-A/12: ANTIBODIES HAVING SPECIFICITY FOR BTN2 AND USES THEREOF
PD145799.1,36,"JP 2022502369-A/4: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PD145804.1,36,"JP 2022502369-A/9: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PC345636.1,36,"JP 2021513345-A/5: Antibody against the endothelin receptor subtype A, and uses thereof"
PC442196.1,34,JP 2021534794-A/72: PRODUCTS AND METHODS FOR INHIBITION OF EXPRESSION OF MUTANT GARS PROTEIN
PD400411.1,34,JP 2022524212-A/24: ENGINEERED MRNA SEQUENCES AND USES THEREOF
PD400451.1,34,JP 2022524212-A/64: ENGINEERED MRNA SEQUENCES AND USES THEREOF
PD203312.1,33,JP 2022516848-A/4: BTN3A BINDING PROTEINS AND USES THEREOF
PG110182.1,33,"JP 2022549172-A/26: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PD145850.1,33,"JP 2022502369-A/55: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PD145821.1,33,"JP 2022502369-A/26: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PD145822.1,33,"JP 2022502369-A/27: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PC420569.1,33,"JP 2021526833-A/25: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PC420572.1,33,"JP 2021526833-A/28: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PD145805.1,33,"JP 2022502369-A/10: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PC420567.1,33,"JP 2021526833-A/23: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PD145811.1,33,"JP 2022502369-A/16: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PG181409.1,33,JP 2023500896-A/33: A MURINE MODEL OF FETAL/NEONATAL ALLOIMMUNE THROMBOCYTOPENIA
PC371227.1,33,JP 2021521201-A/37: Antibodies
PC371225.1,33,JP 2021521201-A/35: Antibodies
PG053335.1,33,JP 2022540918-A/61: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG110157.1,33,"JP 2022549172-A/1: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PC355051.1,33,"JP 2021518132-A/26: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PD152661.1,33,JP 2022505173-A/82: Compositions and Methods for Delivering Transgenes
PD154217.1,33,JP 2022512892-A/4: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PG057190.1,33,JP 2022541767-A/26: Caninized Antibodies to Human and Canine CTLA-4
PC355032.1,33,"JP 2021518132-A/7: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PG053278.1,33,JP 2022540918-A/4: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053281.1,33,JP 2022540918-A/7: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053283.1,33,JP 2022540918-A/9: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053279.1,33,JP 2022540918-A/5: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053282.1,33,JP 2022540918-A/8: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PC420545.1,33,"JP 2021526833-A/1: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PC355026.1,33,"JP 2021518132-A/1: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PC355040.1,33,"JP 2021518132-A/15: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PC371219.1,33,JP 2021521201-A/29: Antibodies
PC371222.1,33,JP 2021521201-A/32: Antibodies
PG110171.1,33,"JP 2022549172-A/15: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PG110163.1,33,"JP 2022549172-A/7: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PC371207.1,33,JP 2021521201-A/17: Antibodies
PC371209.1,33,JP 2021521201-A/19: Antibodies
PC371195.1,33,JP 2021521201-A/5: Antibodies
PC371196.1,33,JP 2021521201-A/6: Antibodies
PG239006.1,33,JP 2023506925-A/11: BISPECIFIC CANINIZED ANTIBODIES AND BISPECIFIC BINDING PARTNERS
PD154220.1,32,JP 2022512892-A/7: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PD154230.1,32,JP 2022512892-A/17: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PD154234.1,31,JP 2022512892-A/21: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PC424161.1,31,JP 2021526853-A/455: RNA-GUIDED NUCLEASES AND ACTIVE FRAGMENTS AND VARIANTS THEREOF AND METHODS OF USE
PD154221.1,31,JP 2022512892-A/8: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PD154214.1,31,JP 2022512892-A/1: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PD154215.1,31,JP 2022512892-A/2: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PG053312.1,30,JP 2022540918-A/38: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053316.1,30,JP 2022540918-A/42: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053315.1,30,JP 2022540918-A/41: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053310.1,30,JP 2022540918-A/36: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053311.1,30,JP 2022540918-A/37: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PD154216.1,30,JP 2022512892-A/3: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PC355053.1,30,"JP 2021518132-A/28: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PC371202.1,30,JP 2021521201-A/12: Antibodies
PG382066.1,30,JP 2023517118-A/26: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for TSLP inhibition and for the treatment or alleviation of skin inflammatory disease and the use thereof
PG057485.1,30,JP 2022541896-A/10: Melanophilin Antisense Oligonucleotides
PC355048.1,30,"JP 2021518132-A/23: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PC371214.1,30,JP 2021521201-A/24: Antibodies
PG122138.1,30,JP 2023500436-A/13: Vector
PG053287.1,30,JP 2022540918-A/13: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053288.1,30,JP 2022540918-A/14: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053313.1,30,JP 2022540918-A/39: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PC355043.1,30,"JP 2021518132-A/18: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PG053314.1,30,JP 2022540918-A/40: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PD154218.1,30,JP 2022512892-A/5: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PC355055.1,30,"JP 2021518132-A/30: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PG239005.1,30,JP 2023506925-A/10: BISPECIFIC CANINIZED ANTIBODIES AND BISPECIFIC BINDING PARTNERS
PG110179.1,30,"JP 2022549172-A/23: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PD145802.1,30,"JP 2022502369-A/7: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PC420565.1,30,"JP 2021526833-A/21: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PG110184.1,30,"JP 2022549172-A/28: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PG110186.1,30,"JP 2022549172-A/30: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PC345635.1,30,"JP 2021513345-A/4: Antibody against the endothelin receptor subtype A, and uses thereof"
PG110174.1,30,"JP 2022549172-A/18: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PG057191.1,30,JP 2022541767-A/27: Caninized Antibodies to Human and Canine CTLA-4
PG053331.1,30,JP 2022540918-A/57: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053332.1,30,JP 2022540918-A/58: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053333.1,30,JP 2022540918-A/59: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PC420562.1,30,"JP 2021526833-A/18: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PD298305.1,30,JP 2022520285-A/5: Therapeutic Agents
PC420570.1,30,"JP 2021526833-A/26: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PC420559.1,30,"JP 2021526833-A/15: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PD154231.1,29,JP 2022512892-A/18: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PC357222.1,29,JP 2021512646-A/1: Structural domains of antisense RNA molecules up-regulating translation
PD154219.1,29,JP 2022512892-A/6: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PG037386.1,29,JP 2022536173-A/2: ANTISENSE RNA EDITING OLIGONUCLEOTIDES COMPRISING CYTIDINE ANALOGS
PG078698.1,28,JP 2022546101-A/18: METHODS AND COMPOSITIONS FOR THE MODIFICATION AND DELIVERY OF LYMPHOCYTES
PD154236.1,28,JP 2022512892-A/23: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PD154235.1,28,JP 2022512892-A/22: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PC461191.1,28,JP 2021536245-A/18: METHODS AND COMPOSITIONS FOR GENETICALLY MODIFYING LYMPHOCYTES IN BLOOD OR IN ENRICHED PBMCS
PG321228.1,28,JP 2023513458-A/18: CHIMERIC ANTIGEN RECEPTORS TO HER2 AND METHODS OF USE THEREOF
PD154224.1,28,JP 2022512892-A/11: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PD145801.1,27,"JP 2022502369-A/6: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PC420547.1,27,"JP 2021526833-A/3: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PD145807.1,27,"JP 2022502369-A/12: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PC420550.1,27,"JP 2021526833-A/6: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PC371224.1,27,JP 2021521201-A/34: Antibodies
PD192923.1,27,JP 2022525937-A/11: ANTIBODIES HAVING SPECIFICITY FOR BTN2 AND USES THEREOF
PG057193.1,27,JP 2022541767-A/29: Caninized Antibodies to Human and Canine CTLA-4
PG057249.1,27,JP 2022542808-A/51: Caninized Antibodies Against Canine CTLA-4
PC371206.1,27,JP 2021521201-A/16: Antibodies
PC371205.1,27,JP 2021521201-A/15: Antibodies
PG239008.1,27,JP 2023506925-A/13: BISPECIFIC CANINIZED ANTIBODIES AND BISPECIFIC BINDING PARTNERS
PC355050.1,27,"JP 2021518132-A/25: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PC371200.1,27,JP 2021521201-A/10: Antibodies
PG057252.1,27,JP 2022542808-A/54: Caninized Antibodies Against Canine CTLA-4
PG057246.1,27,JP 2022542808-A/48: Caninized Antibodies Against Canine CTLA-4
PD154223.1,27,JP 2022512892-A/10: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PD145823.1,27,"JP 2022502369-A/28: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PD192926.1,27,JP 2022525937-A/14: ANTIBODIES HAVING SPECIFICITY FOR BTN2 AND USES THEREOF
PD154237.1,27,JP 2022512892-A/24: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PD154226.1,27,JP 2022512892-A/13: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PG122139.1,27,JP 2023500436-A/14: Vector
PG122142.1,27,JP 2023500436-A/17: Vector
PC355039.1,27,"JP 2021518132-A/14: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PC355037.1,27,"JP 2021518132-A/12: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PC355031.1,27,"JP 2021518132-A/6: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PC401765.1,27,JP 2021524032-A/4: BINDING PROTEINS AND CHIMERIC ANTIGEN RECEPTOR T CELLS TARGETING GASP-1 GRANULES AND USES THEREOF
PG053304.1,27,JP 2022540918-A/30: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053305.1,27,JP 2022540918-A/31: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053307.1,27,JP 2022540918-A/33: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053303.1,27,JP 2022540918-A/29: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PC355028.1,27,"JP 2021518132-A/3: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PC355042.1,27,"JP 2021518132-A/17: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PG122145.1,27,JP 2023500436-A/20: Vector
PC355034.1,27,"JP 2021518132-A/9: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
